Package,LibPath,Version,Priority,Built
RandomFields,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.1.50,NA,3.3.2
RandomFieldsUtils,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3.25,NA,3.3.2
rbenchmark,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.0,NA,3.3.0
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1-2,NA,3.3.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.12.15,NA,3.3.3
RcppArmadillo,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.8.300.1.0,NA,3.3.2
RcppEigen,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3.3.3.1,NA,3.3.2
RcppParallel,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,4.3.20,NA,3.3.0
RCurl,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.95-4.10,NA,3.3.2
readr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.1,NA,3.3.2
readxl,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.0,NA,3.3.2
registry,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.5,NA,3.3.2
rematch,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.1,NA,3.3.0
rematch2,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.0.1,NA,3.3.2
repr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.12.0,NA,3.3.2
reprex,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.2,NA,3.3.3
reshape,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.8.7,NA,3.3.2
reshape2,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4.3,NA,3.3.2
rex,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.2,NA,3.3.2
Rglpk,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.6-3,NA,3.3.2
rJava,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.9-9,NA,3.3.2
RJSONIO,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.3-0,NA,3.3.0
rlang,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.6,NA,3.3.2
rmarkdown,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.8,NA,3.3.2
Rmpfr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.6-1,NA,3.3.2
rngtools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2.4,NA,3.3.0
robustbase,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.92-8,NA,3.3.2
roxygen2,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,6.0.1,NA,3.3.2
rpanel,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1-3,NA,3.3.0
rpart,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,4.1-12,recommended,3.3.3
rprojroot,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.3-2,NA,3.3.2
rsconnect,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.8.5,NA,3.3.2
rstan,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.17.3,NA,3.3.3
rstudioapi,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.7,NA,3.3.2
RUnit,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4.31,NA,3.3.0
rvest,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3.2,NA,3.3.0
sandwich,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.4-0,NA,3.3.2
scagnostics,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2-4,NA,3.3.0
scales,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.5.0,NA,3.3.2
selectr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3-1,NA,3.3.2
sfsmisc,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1-1,NA,3.3.2
shiny,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.5,NA,3.3.2
shinyjs,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0,NA,3.3.2
shinystan,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.4.0,NA,3.3.2
shinythemes,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.1,NA,3.3.0
slam,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1-40,NA,3.3.2
sm,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.2-5.4,NA,3.3.0
sna,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.4,NA,3.3.0
som,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3-5.1,NA,3.3.0
sourcetools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.6,NA,3.3.2
sp,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2-7,NA,3.3.3
spam,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.1-2,NA,3.3.2
SparseM,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.77,NA,3.3.2
spatial,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,7.3-11,recommended,3.3.3
spatstat,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.54-0,NA,3.3.2
spatstat.data,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2-0,NA,3.3.2
spatstat.utils,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.8-0,NA,3.3.2
spData,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.6.9,NA,3.3.2
spdep,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.7-4,NA,3.3.2
sphet,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.6,NA,3.3.0
splines,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.3,base,3.3.3
splm,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4-10,NA,3.3.2
StanHeaders,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.17.2,NA,3.3.3
statnet.common,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,4.0.0,NA,3.3.2
stats,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.3,base,3.3.3
